iter	Passed	Remaining
0	2	278
1	5	249
2	7	232
3	9	223
4	11	223
5	14	220
6	16	220
7	18	216
8	21	215
9	23	212
10	26	211
11	28	209
12	30	205
13	32	202
14	35	199
15	37	196
16	39	193
17	41	190
18	44	188
19	46	185
20	48	183
21	50	180
22	53	177
23	55	175
24	57	172
25	59	168
26	61	166
27	63	162
28	64	159
29	66	155
30	68	152
31	70	149
32	72	146
33	73	143
34	75	139
35	76	136
36	78	133
37	80	130
38	81	128
39	83	124
40	85	122
41	85	118
42	87	115
43	89	113
44	90	110
45	92	108
46	94	106
47	95	103
48	97	101
49	98	98
50	100	96
51	102	94
52	103	91
53	105	89
54	106	87
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	116	74
61	117	72
62	119	70
63	121	68
64	123	66
65	124	64
66	126	62
67	128	60
68	129	58
69	131	56
70	133	54
71	135	52
72	136	50
73	138	48
74	139	46
75	141	44
76	143	42
77	144	40
78	146	38
79	147	36
80	149	35
81	151	33
82	152	31
83	154	29
84	156	27
85	157	25
86	159	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	169	12
93	170	10
94	172	9
95	173	7
96	175	5
97	176	3
98	178	1
99	180	0
